Date,Team,Win,GF,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 11 🏆@@24268,:mx: MEX 🏡,74.6,2.1,:za: RSA,5.5,0.4,19.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:ca: CAN 🏡,65.8,2.0,:ba: BIH,11.5,0.7,22.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:kr: KOR,38.1,1.3,:cz: CZE,32.4,1.2,29.5,0-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:br: BRA,63.2,1.8,:ma: MAR,11.5,0.6,25.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:us: USA 🏡,39.0,1.3,:py: PAR,30.2,1.1,30.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:ch: SUI,85.9,3.2,:qa: QAT,2.9,0.4,11.2,2-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:tr: TUR,58.9,1.9,:au: AUS,16.7,0.9,24.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:gb-sct: SCO,61.3,2.0,:ht: HAI,15.5,0.9,23.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:de: GER,89.8,3.7,:cw: CUW,1.9,0.4,8.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:nl: NED,44.6,1.6,:jp: JPN,28.6,1.3,26.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:se: SWE,52.0,1.7,:tn: TUN,21.1,1.0,26.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:es: ESP,89.8,3.4,:cv: CPV,1.4,0.3,8.9,2-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:be: BEL,61.3,2.0,:eg: EGY,15.1,0.9,23.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:ec: ECU,57.7,1.7,:ci: CIV,15.4,0.7,26.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:uy: URU,75.6,2.2,:sa: KSA,5.6,0.4,18.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:ir: IRN,51.5,1.6,:nz: NZL,20.2,0.9,28.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:no: NOR,81.7,2.8,:iq: IRQ,4.2,0.5,14.1,2-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:fr: FRA,57.2,1.6,:sn: SEN,15.7,0.7,27.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:pt: POR,72.3,2.3,:cd: COD,8.2,0.6,19.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:gb-eng: ENG,61.8,1.9,:hr: CRO,14.0,0.8,24.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:ar: ARG,81.2,2.7,:dz: ALG,4.2,0.5,14.6,2-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:at: AUT,65.7,2.2,:jo: JOR,12.6,0.8,21.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:ch: SUI,67.5,2.2,:ba: BIH,11.7,0.8,20.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:cz: CZE,49.4,1.6,:za: RSA,22.4,1.0,28.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:co: COL,77.9,2.4,:uz: UZB,5.0,0.4,17.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:pa: PAN,50.3,1.6,:gh: GHA,21.8,1.0,27.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:ca: CAN 🏡,84.0,2.9,:qa: QAT,3.1,0.4,12.9,2-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:us: USA 🏡,51.0,1.6,:au: AUS,20.7,0.9,28.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:ma: MAR,38.9,1.2,:gb-sct: SCO,28.8,1.0,32.2,0-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:mx: MEX 🏡,63.4,1.7,:kr: KOR,10.7,0.5,25.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:tr: TUR,44.6,1.5,:py: PAR,27.4,1.1,27.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:br: BRA,86.9,3.2,:ht: HAI,2.5,0.4,10.6,2-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:de: GER,73.0,2.6,:ci: CIV,9.3,0.8,17.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:nl: NED,64.7,2.2,:se: SWE,13.9,0.9,21.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:ec: ECU,81.1,2.6,:cw: CUW,4.0,0.4,15.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:jp: JPN,68.7,2.1,:tn: TUN,9.8,0.6,21.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:es: ESP,89.7,3.4,:sa: KSA,1.4,0.3,8.9,2-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:uy: URU,75.7,2.2,:cv: CPV,5.5,0.4,18.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:be: BEL,63.5,2.0,:ir: IRN,13.5,0.8,23.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:ar: ARG,77.7,2.6,:at: AUT,6.0,0.6,16.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:eg: EGY,55.1,1.7,:nz: NZL,17.9,0.8,27.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:fr: FRA,86.6,3.0,:iq: IRQ,2.2,0.3,11.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:pt: POR,78.3,2.6,:uz: UZB,5.5,0.5,16.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:no: NOR,45.3,1.5,:sn: SEN,26.1,1.1,28.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:gb-eng: ENG,84.6,2.9,:gh: GHA,2.8,0.4,12.6,2-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:dz: ALG,57.5,1.8,:jo: JOR,17.4,0.9,25.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ca: CAN 🏡,36.4,1.3,:ch: SUI,33.7,1.2,29.9,0-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:hr: CRO,55.0,1.7,:pa: PAN,18.8,0.9,26.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ba: BIH,66.3,2.2,:qa: QAT,12.6,0.9,21.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ma: MAR,63.4,1.9,:ht: HAI,12.5,0.7,24.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:co: COL,71.8,2.1,:cd: COD,7.6,0.5,20.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:br: BRA,71.4,2.2,:gb-sct: SCO,8.6,0.6,20.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:ci: CIV,65.9,2.1,:cw: CUW,11.8,0.7,22.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:mx: MEX 🏡,68.6,2.0,:cz: CZE,9.1,0.6,22.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:de: GER,47.2,1.7,:ec: ECU,26.5,1.2,26.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:kr: KOR,49.7,1.4,:za: RSA,20.6,0.8,29.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:nl: NED,75.1,2.4,:tn: TUN,6.9,0.6,18.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:py: PAR,46.5,1.4,:au: AUS,23.3,0.9,30.2,0-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:fr: FRA,52.1,1.8,:no: NOR,22.2,1.1,25.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:us: USA 🏡,31.9,1.3,:tr: TUR,40.6,1.5,27.6,1-1,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:jp: JPN,56.3,1.9,:se: SWE,19.2,1.0,24.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:sn: SEN,70.8,2.0,:iq: IRQ,7.4,0.5,21.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:gb-eng: ENG,76.5,2.4,:pa: PAN,6.0,0.5,17.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:be: BEL,78.0,2.6,:nz: NZL,5.9,0.6,16.1,1-0,9,FIFA 2026 World Cup: Group Stage
