Team,PELE,GF,GA,W,L,D
ARG,2064.7,4.43,0.34,86.8,3.7,9.5
ESP,2064.4,4.64,0.37,87.6,3.7,8.7
ENG,2009.5,3.98,0.42,83.0,5.6,11.4
FRA,2008.1,4.03,0.43,83.1,5.6,11.2
BRA,2005.4,4.02,0.43,83.0,5.7,11.3
POR,1951.6,3.65,0.53,78.8,8.2,13.0
GER,1945.6,4.03,0.63,80.3,8.4,11.3
COL,1945.0,3.35,0.49,76.8,8.6,14.7
NED,1934.2,3.63,0.59,77.8,9.1,13.1
URU,1923.0,3.25,0.54,75.0,9.7,15.2
NOR,1920.2,3.57,0.63,76.6,9.9,13.4
ECU,1919.8,3.14,0.53,74.2,9.9,15.9
SEN,1894.1,2.92,0.56,71.3,11.5,17.2
JPN,1885.0,3.18,0.66,72.5,12.1,15.4
ITA,1880.4,2.85,0.59,70.1,12.3,17.6
TUR,1876.4,3.27,0.73,72.4,12.8,14.8
BEL,1874.7,3.23,0.72,72.0,12.9,15.1
SUI,1869.5,3.09,0.70,70.9,13.2,15.8
CRO,1865.7,2.99,0.69,70.1,13.5,16.5
PAR,1850.6,2.73,0.67,67.4,14.5,18.2
DEN,1850.5,2.97,0.75,68.9,14.7,16.4
MAR,1842.9,2.51,0.63,65.3,14.9,19.9
MEX,1836.1,2.65,0.70,65.9,15.5,18.6
RUS,1830.7,2.84,0.80,66.7,16.2,17.1
AUT,1816.1,2.85,0.87,65.6,17.5,16.9
NGA,1800.7,2.41,0.77,61.7,18.4,19.9
CAN,1792.3,2.49,0.85,61.5,19.4,19.1
SCO,1790.7,2.50,0.85,61.4,19.5,19.0
ALG,1787.2,2.57,0.90,61.6,20.0,18.4
AUS,1783.2,2.38,0.84,60.1,20.0,19.9
GRE,1778.6,2.39,0.87,59.8,20.5,19.7
SWE,1773.3,2.55,0.97,60.4,21.4,18.3
CIV,1771.7,2.37,0.89,59.1,21.2,19.7
VEN,1771.2,2.47,0.95,59.7,21.5,18.8
CHI,1770.3,2.40,0.92,59.2,21.4,19.4
UKR,1769.1,2.32,0.89,58.6,21.4,20.0
USA,1768.5,2.48,0.96,59.6,21.7,18.7
KOR,1766.0,2.26,0.87,57.9,21.5,20.5
POL,1765.3,2.49,0.99,59.3,22.1,18.6
